latitude,longitude,CLUSTER
-3.80171144602,-38.4960297781,12
-3.76686105003,-38.5865473,0
-3.83430769006,-38.5606221758,4
-3.76306215003,-38.5893548,0
-3.79978990236,-38.4940051822,12
-3.78552815003,-38.4989516,1
-3.80823140003,-38.4396104,-1
-3.73449745003,-38.4970694,7
-3.73563315003,-38.5840133,-1
-3.76006430003,-38.5422955,5
-3.80305304764,-38.5908446709,29
-3.83367659959,-38.5581973751,4
-3.76576725003,-38.5933278,0
-3.74600515003,-38.5474003,27
-3.77877264557,-38.5489407823,15
-3.72965840003,-38.4920552,-1
-3.79962030003,-38.4940503,12
-3.78515105003,-38.4962505,1
-3.78015815003,-38.5633166,10
-3.79443240003,-38.5926019,-1
-3.78518220364,-38.4961539194,1
-3.71897145003,-38.5786633,-1
-3.77877465431,-38.5489451455,15
-3.75378515003,-38.5545021,3
-3.80737342402,-38.5803643634,18
-3.73562701347,-38.5840449305,-1
-3.76303533257,-38.5893058393,0
-3.76341107455,-38.5809344608,0
-3.7313479895,-38.5298067659,-1
-3.79005105003,-38.4735531,9
-3.76639410003,-38.4890987,-1
-3.87182220003,-38.4973109,-1
-3.79902640003,-38.494308,12
-3.76181815003,-38.5416466,5
-3.83367035558,-38.5581959906,4
-3.77877546933,-38.5489454859,15
-3.78521191566,-38.4961039831,1
-3.82639220003,-38.5202336,20
-3.87000335003,-38.4979678,-1
-3.75328013861,-38.5489616772,2
-3.79902640003,-38.494308,12
-3.76303490822,-38.5893060449,0
-3.77236320003,-38.4818712,-1
-3.7288322964,-38.5973258564,14
-3.79002035269,-38.473517641,9
-3.82555630003,-38.4667449,17
-3.74166505003,-38.4945783,7
-3.79855050003,-38.4946227,12
-3.8172945976,-38.5895655038,6
-3.78521416552,-38.4961191701,1
-3.77877480606,-38.5489450153,15
-3.75615630003,-38.5653,3
-3.82637211786,-38.5202827242,20
-3.82552130003,-38.4667316,17
-3.77877508292,-38.5489455914,15
-3.76006430003,-38.5422955,5
-3.78995915003,-38.4734897,9
-3.76954120003,-38.4969824,-1
-3.77443925003,-38.5641861,10
-3.79564243613,-38.4898424238,12
-3.78516910003,-38.4960524,1
-3.79856699741,-38.494631186,12
-3.81729584992,-38.589566042,6
-3.75278471207,-38.5791915139,0
-3.75620315003,-38.565285,3
-3.74169015003,-38.4946204,7
-3.78994806256,-38.4734905625,9
-3.75921630003,-38.6001866,26
-3.76827110003,-38.550501,28
-3.81369111097,-38.59558989,11
-3.82637930003,-38.5202869,20
-3.81078640003,-38.5394799,19
-3.77877467226,-38.5489446753,15
-3.79854190246,-38.5895487171,24
-3.80244821692,-38.4848691029,12
-3.73959735003,-38.59558,13
-3.74174720003,-38.4945581,7
-3.78605935003,-38.5680261,10
-3.75615576185,-38.5652808589,3
-3.78996620003,-38.4734648,9
-3.78519031603,-38.4960709744,1
-3.78556445003,-38.4986616,1
-3.71310735003,-38.5956781,8
-3.7866614031,-38.5019665762,1
-3.75945710003,-38.5685496,-1
-3.7866614031,-38.5019665762,1
-3.80702389779,-38.5775422511,18
-3.82794446606,-38.5613186257,4
-3.74172745003,-38.494542,7
-3.76179641866,-38.5415425418,5
-3.80702317225,-38.5775424679,18
-3.72397130003,-38.5373333,-1
-3.76904210003,-38.5705127,0
-3.78518526581,-38.4960701719,1
-3.81078065249,-38.539554726,19
-3.78996330003,-38.4734627,9
-3.78582915003,-38.5683228,10
-3.78180630003,-38.5441934,15
-3.76184800003,-38.54161,5
-3.78519811494,-38.4961008678,1
-3.73041315003,-38.5377116,-1
-3.82625903315,-38.520306463,20
-3.80702260979,-38.5775423327,18
-3.82537243614,-38.4667324762,17
-3.78855130003,-38.4705533,9
-3.79847740003,-38.4946631,12
-3.78996525003,-38.4735101,9
-3.71839025003,-38.5713992,-1
-3.76961815003,-38.57032,0
-3.78664619935,-38.5019698953,1
-3.75587910003,-38.5884971,0
-3.76910930003,-38.5173944,-1
-3.75325854598,-38.5489266151,2
-3.81078917767,-38.5395675662,19
-3.78556315003,-38.4989349,1
-3.78997125003,-38.473587,9
-3.76512505003,-38.5718307,0
-3.74166965988,-38.5934544659,13
-3.8173315531,-38.589588647,6
-3.80702192988,-38.5775428454,18
-3.78520035003,-38.4961028,1
-3.78829630003,-38.4723966,9
-3.72875668346,-38.5971202454,14
-3.78996220237,-38.4735700433,9
-3.80702039795,-38.5775433679,18
-3.75587615003,-38.588494,0
-3.81733219626,-38.5895888896,6
-3.77804105003,-38.5620047,10
-3.78828815003,-38.4724466,9
-3.72987045003,-38.5216607,-1
-3.77877184109,-38.5489404496,15
-3.75326025631,-38.5489336452,2
-3.82080920003,-38.5573517,23
-3.82536322504,-38.466766698,17
-3.77989130003,-38.56328,10
-3.7416866128,-38.5934527174,13
-3.79574815003,-38.4934464,12
-3.83089125003,-38.5605732,4
-3.78819821692,-38.4724941029,9
-3.72236125003,-38.536184,-1
-3.75325969302,-38.548933939,2
-3.78997915003,-38.4735097,9
-3.75586255079,-38.588532335,0
-3.82125202834,-38.5640181807,-1
-3.78083743167,-38.5019688967,1
-3.74169255519,-38.5934553751,13
-3.77681815003,-38.5648149,10
-3.83845835003,-38.5803704,-1
-3.71174725003,-38.5783343,-1
-3.79578630003,-38.4936583,12
-3.78998020003,-38.4734788,9
-3.84941086752,-38.5049495904,-1
-3.73362576186,-38.5964158589,-1
-3.76171574241,-38.541665839,5
-3.78517410003,-38.4961306,1
-3.81820310003,-38.5967901,11
-3.79874405003,-38.4947068,12
-3.73503058179,-38.5443942469,16
-3.75587050003,-38.5884707,0
-3.75325778112,-38.5489325775,2
-3.78583625003,-38.5678097,10
-3.79001905003,-38.473471,9
-3.84941191672,-38.5049492127,-1
-3.78883090442,-38.4974791748,1
-3.76290805003,-38.5119021,-1
-3.73444149696,-38.4968893597,7
-3.83434300003,-38.56065,4
-3.73483510003,-38.5220495,-1
-3.76989110003,-38.5583774,-1
-3.80457071909,-38.5915725929,29
-3.78961076185,-38.4952607412,1
-3.78509125003,-38.4961689,1
-3.79001935003,-38.4734744,9
-3.78584815003,-38.5677866,10
-3.80310520598,-38.5367781291,-1
-3.74167870345,-38.5934629627,13
-3.79874645003,-38.494702,12
-3.76339693697,-38.5809517158,0
-3.71237815003,-38.465105,-1
-3.74176684087,-38.5936508424,13
-3.73445615003,-38.496848,7
-3.75124915003,-38.4909761,-1
-3.75324508374,-38.5489261466,2
-3.80717176189,-38.5777191893,18
-3.75282139567,-38.5792103998,0
-3.79001105722,-38.473461782,9
-3.78517220262,-38.4961491218,1
-3.79991815003,-38.4945866,12
-3.71721910003,-38.5958669,8
-3.77772935003,-38.5160534,-1
-3.76766717131,-38.5724891097,0
-3.82137410003,-38.5581199,23
-3.81818845003,-38.5967051,11
-3.78520282091,-38.4961483264,1
-3.73703055032,-38.5969314401,13
-3.73447445003,-38.4968375,7
-3.79871230003,-38.494506,12
-3.79577815003,-38.49362,12
-3.78998880003,-38.4734366,9
-3.78559901325,-38.4986741274,1
-3.80714722659,-38.5777253645,18
-3.73446825003,-38.4968586,7
-3.78505055011,-38.4959924594,1
-3.72881444116,-38.5973341975,14
-3.75324662214,-38.5489269014,2
-3.75588605003,-38.5885113,0
-3.79585400003,-38.4936766,12
-3.78993840003,-38.4734791,9
-3.79863840003,-38.4946071,12
-3.81817035003,-38.5967412,11
-3.75308130003,-38.591365,0
-3.80701282603,-38.5775200287,18
-3.75531630003,-38.5775366,0
-3.79958415003,-38.4941414,12
-3.82808435003,-38.5612367,4
-3.78995520003,-38.4735116,9
-3.77431305003,-38.5566483,-1
-3.75324728776,-38.5489266117,2
-3.78519540003,-38.4960822,1
-3.78792905003,-38.5058942,1
-3.74453321692,-38.5340941971,25
-3.80701181956,-38.5775201674,18
-3.81377738418,-38.5958015092,11
-3.75324867297,-38.5489259021,2
-3.73442878789,-38.496894225,7
-3.75926141866,-38.6004475418,26
-3.78995205433,-38.4734641064,9
-3.81078640003,-38.5394801,19
-3.70618041481,-38.5911604142,-1
-3.74446518367,-38.5340339904,25
-3.78555815003,-38.498965,1
-3.81960534265,-38.4962274009,-1
-3.7996310416,-38.4941902953,12
-3.840601555,-38.5622240399,4
-3.81126725003,-38.5558998,-1
-3.77154125003,-38.5705183,0
-3.785161416,-38.4960900263,1
-3.76495645003,-38.5701902,0
-3.82065220003,-38.5578406,23
-3.71776976906,-38.5956773171,8
-3.75325000689,-38.5489258521,2
-3.82939815003,-38.4633599,17
-3.78788525003,-38.5058999,1
-3.79959540003,-38.4942076,12
-3.74444630003,-38.5340483,25
-3.75592435003,-38.5883937,0
-3.73037240639,-38.5377158245,-1
-3.76050315003,-38.5786944,0
-3.76301345003,-38.5761606,0
-3.7899633516,-38.4734560282,9
-3.87587957586,-38.5928056455,-1
-3.82936815003,-38.4633899,17
-3.75325194143,-38.5489260024,2
-3.78791205003,-38.5059219,1
-3.71574205003,-38.5833005,-1
-3.72885602236,-38.5973559074,14
-3.73342310003,-38.4963401,7
-3.78998594071,-38.4734844271,9
-3.78519711494,-38.4961268323,1
-3.73093730003,-38.4965211,7
-3.78552130003,-38.498925,1
-3.73825110003,-38.5915746,13
-3.78515176732,-38.4961230731,1
-3.83665201736,-38.5541710815,4
-3.78993826581,-38.4734312719,9
-3.81818654641,-38.5967472578,11
-3.80566630003,-38.4966733,12
-3.75325221811,-38.5489277296,2
-3.80571243613,-38.4966907762,12
-3.78994825573,-38.4734315945,9
-3.81744227267,-38.5962848276,11
-3.76200320003,-38.5345931,30
-3.78514724402,-38.4961090435,1
-3.70183620003,-38.5785378,-1
-3.80575315003,-38.4967333,12
-3.78996137626,-38.4734612674,9
-3.73457735003,-38.4967755,7
-3.76303482107,-38.5893057212,0
-3.77906445003,-38.5831112,0
-3.77906445003,-38.5831112,0
-3.78549815003,-38.4988183,1
-3.75470030003,-38.5476882,2
-3.76603815003,-38.4964808,-1
-3.75492745003,-38.5659863,3
-3.78998540003,-38.4735144,9
-3.75330040003,-38.5489121,2
-3.74210630003,-38.5137733,-1
-3.76191640003,-38.5857436,0
-3.78548130003,-38.4988483,1
-3.81123830003,-38.5558388,-1
-3.76904210003,-38.5705127,0
-3.78808536783,-38.5059622869,1
-3.74184556258,-38.5936774918,13
-3.80028240003,-38.4941126,12
-3.7784060013,-38.5781459632,0
-3.78557960791,-38.4988525826,1
-3.80694062149,-38.588518461,29
-3.75493015003,-38.5659669,3
-3.83183340003,-38.4637988,17
-3.83183340003,-38.4637988,17
-3.79583130003,-38.4935716,12
-3.79001784568,-38.4734426698,9
-3.80692690961,-38.5885066813,29
-3.75491630003,-38.5659177,3
-3.76904210003,-38.5705127,0
-3.80039805003,-38.493879,12
-3.72891038584,-38.5972517704,14
-3.78995015003,-38.4734571,9
-3.78559815003,-38.49884,1
-3.73456415003,-38.4969182,7
-3.79591743613,-38.4936024762,12
-3.83356628081,-38.5581991835,4
-3.75596225003,-38.588291,0
-3.78515925003,-38.4962175,1
-3.78603105003,-38.5680935,10
-3.80007630003,-38.4940506,12
-3.79002410003,-38.4734432,9
-3.79592130003,-38.4936099,12
-3.75649137678,-38.5823092855,0
-3.82149010003,-38.5581594,23
-3.75326838447,-38.5489450135,2
-3.78595955003,-38.568082,10
-3.79601327644,-38.4936304396,12
-3.75584435003,-38.5884702,0
-3.77379425003,-38.5800988,0
-3.79000611537,-38.473432695,9
-3.79856232182,-38.5895336957,24
-3.73154934695,-38.5454362639,16
